,subject,session,generation
0,sub-NDARMA390CHB,ses-VNav,gen-005
1,sub-NDARVV095BWU,ses-HCP,gen-023
2,sub-NDARUX408KJ1,ses-VNav,gen-002
3,sub-NDARFD316UD2,ses-VNav,gen-019
4,sub-NDARWY718TY7,ses-VNav,gen-017
5,sub-NDARWE818UA6,ses-VNav,gen-017
6,sub-NDAREL410HHK,ses-VNav,gen-045
7,sub-NDARUX408KJ1,ses-VNav,gen-041
8,sub-NDARGV455JV1,ses-HCP,gen-045
9,sub-NDARVV095BWU,ses-HCP,gen-033
10,sub-NDARWE818UA6,ses-VNav,gen-016
11,sub-NDARVV095BWU,ses-HCP,gen-001
12,sub-NDARFD316UD2,ses-VNav,gen-041
13,sub-NDARWE818UA6,ses-VNav,gen-041
14,sub-NDARBV663TRE,ses-HCP,gen-017
15,sub-NDARAJ674WJT,ses-HCP,gen-041
16,sub-NDARMA390CHB,ses-VNav,gen-022
17,sub-NDARVV095BWU,ses-HCP,gen-042
18,sub-NDARFD316UD2,ses-VNav,gen-007
19,sub-NDARFD316UD2,ses-VNav,gen-022
20,sub-NDARPE424GZZ,ses-HCP,gen-024
21,sub-NDARVV095BWU,ses-HCP,gen-043
22,sub-NDARWY718TY7,ses-VNav,gen-022
23,sub-NDAREL410HHK,ses-VNav,gen-015
24,sub-NDARJE271DMC,ses-VNav,gen-orig
25,sub-NDARFD316UD2,ses-VNav,gen-048
26,sub-NDAREL410HHK,ses-VNav,gen-043
27,sub-NDARWE818UA6,ses-VNav,gen-043
28,sub-NDARWE818UA6,ses-VNav,gen-003
29,sub-NDARWE818UA6,ses-VNav,gen-018
30,sub-NDARZP542LJK,ses-HCP,gen-025
31,sub-NDARWE818UA6,ses-VNav,gen-011
32,sub-NDARFD316UD2,ses-VNav,gen-038
33,sub-NDAREL410HHK,ses-VNav,gen-048
34,sub-NDARWY718TY7,ses-VNav,gen-020
35,sub-NDAREL410HHK,ses-VNav,gen-000
36,sub-NDAREL410HHK,ses-VNav,gen-033
37,sub-NDARWY718TY7,ses-VNav,gen-037
